town,salesprice,lotarea,AC
DUBUQUE,38000,15000,Yes
DUBUQUE,79000,3216,Yes
DYERSVILLE,43500,50965,unknown
EPWORTH,43000,14375,unknown
EPWORTH,239000,11475,Yes
PEOSTA,50900,10780,Yes
PEOSTA,410000,127195,Yes
DUBUQUE,38000,43200,No
DUBUQUE,415000,25247,Yes
DUBUQUE,60000,23087,unknown
DUBUQUE,377000,12909,Yes
DUBUQUE,169500,33600,Yes
DUBUQUE,560000,37026,Yes
DUBUQUE,283450,10065,Yes
DUBUQUE,42900,10065,Yes
unknown,162000,9000,unknown
DUBUQUE,162000,18176,Yes
CASCADE,30000,15600,unknown
CASCADE,243000,13200,Yes
HOLY CROSS,123500,13500,Yes
unknown,65000,47045,unknown
DUBUQUE,530000,90169,Yes
NEW VIENNA,118000,6678,Yes
DYERSVILLE,112000,10833,Yes
DYERSVILLE,83000,12765,No
DYERSVILLE,65000,7590,Yes
DYERSVILLE,232000,19975,Yes
DYERSVILLE,327875,13064,Yes
DUBUQUE,287500,21780,Yes
unknown,65000,60113,unknown
DUBUQUE,292000,45302,Yes
DUBUQUE,107000,4576,Yes
DURANGO,185000,15246,Yes
DUBUQUE,570000,43560,Yes
DUBUQUE,219000,6000,Yes
DUBUQUE,237000,8394,Yes
DUBUQUE,187000,5016,Yes
DUBUQUE,159900,9996,Yes
DUBUQUE,159900,9000,unknown
DUBUQUE,101500,5000,Yes
DUBUQUE,42000,2550,Yes
DUBUQUE,42000,2550,Yes
DUBUQUE,107000,6100,Yes
DUBUQUE,115000,4250,Yes
DUBUQUE,142900,5000,unknown
DUBUQUE,142900,10300,Yes
DUBUQUE,55000,2250,Yes
DUBUQUE,1.00E+05,5120,Yes
DUBUQUE,65000,3400,Yes
DUBUQUE,55000,3780,Yes
DUBUQUE,225000,37200,unknown
DUBUQUE,225000,19118,Yes
DUBUQUE,166000,12880,Yes
DUBUQUE,137000,8050,Yes
DUBUQUE,122600,7200,Yes
DUBUQUE,140000,7740,Yes
DUBUQUE,135000,7380,Yes
DUBUQUE,194900,37184,Yes
DUBUQUE,227000,11532,Yes
DUBUQUE,395000,23100,Yes
DUBUQUE,161900,8050,Yes
DUBUQUE,160000,12460,Yes
DUBUQUE,202000,11040,Yes
DUBUQUE,215000,15210,Yes
DUBUQUE,291000,0,Yes
DUBUQUE,151500,7370,Yes
DUBUQUE,285000,10208,Yes
DUBUQUE,242000,9460,Yes
DUBUQUE,27500,50530,unknown
DUBUQUE,244000,10336,Yes
DUBUQUE,235000,11040,Yes
DUBUQUE,365000,18232,Yes
ASBURY,365000,10750,Yes
ASBURY,62000,14338,unknown
DUBUQUE,145000,10800,Yes
DUBUQUE,353061,3212,Yes
DUBUQUE,285000,18020,Yes
unknown,53000,17480,unknown
ASBURY,295000,13080,Yes
DUBUQUE,120000,8360,Yes
DUBUQUE,236000,7040,Yes
DUBUQUE,150000,7150,Yes
DUBUQUE,155000,8568,Yes
DUBUQUE,160000,14550,Yes
DUBUQUE,176050,12692,Yes
DUBUQUE,180000,11880,Yes
DUBUQUE,103500,1674,Yes
DUBUQUE,161100,9920,Yes
DUBUQUE,145000,9880,Yes
DUBUQUE,155000,7811,Yes
DUBUQUE,165900,7750,No
DUBUQUE,217000,8794,Yes
DUBUQUE,275750,6130,Yes
DUBUQUE,112000,0,Yes
DUBUQUE,126000,8520,Yes
DUBUQUE,134900,8174,Yes
DUBUQUE,160001,11840,Yes
DUBUQUE,135000,6000,Yes
DUBUQUE,89000,5000,Yes
DUBUQUE,1.00E+05,8064,Yes
DUBUQUE,150500,6000,Yes
DUBUQUE,36500,18219,unknown
DUBUQUE,36500,11316,Yes
DUBUQUE,119000,5290,Yes
DUBUQUE,75000,5000,No
DUBUQUE,163000,6725,Yes
DUBUQUE,27000,2592,unknown
DUBUQUE,27000,7540,Yes
DUBUQUE,27000,3744,unknown
DUBUQUE,77500,6100,Yes
DUBUQUE,295000,7482,unknown
DUBUQUE,37919,4300,No
DUBUQUE,29900,5100,No
DUBUQUE,60000,1865,unknown
DUBUQUE,10000,1900,No
DUBUQUE,86900,3920,Yes
DUBUQUE,161600,6000,Yes
DUBUQUE,81900,4440,No
DUBUQUE,133000,14700,Yes
DUBUQUE,91000,7600,No
DUBUQUE,140000,6900,No
DUBUQUE,123500,3000,Yes
DUBUQUE,164000,7950,Yes
DUBUQUE,163500,5000,Yes
DUBUQUE,93900,12750,Yes
DUBUQUE,113000,5800,Yes
DUBUQUE,162900,10450,Yes
DUBUQUE,245000,7500,Yes
DUBUQUE,141900,6625,Yes
DUBUQUE,138000,5928,Yes
DUBUQUE,106000,5300,Yes
DUBUQUE,138000,0,Yes
DUBUQUE,144000,3700,Yes
DUBUQUE,155000,10564,Yes
DUBUQUE,187950,5000,Yes
DUBUQUE,169100,5000,Yes
DUBUQUE,170000,9009,Yes
DUBUQUE,250000,11745,Yes
DUBUQUE,4.00E+05,48670,Yes
DUBUQUE,2.00E+05,8625,Yes
DUBUQUE,136500,5175,Yes
DUBUQUE,175000,4704,Yes
DUBUQUE,150000,5600,Yes
DUBUQUE,190000,7952,Yes
DUBUQUE,158000,8520,Yes
DUBUQUE,387000,8640,Yes
DUBUQUE,150000,6930,Yes
DUBUQUE,150000,4410,unknown
DUBUQUE,205000,9180,Yes
DUBUQUE,203500,9680,Yes
DUBUQUE,1035000,4988,Yes
DUBUQUE,1035000,5104,Yes
DUBUQUE,1035000,5104,Yes
DUBUQUE,1035000,5104,Yes
DUBUQUE,1035000,5104,Yes
DUBUQUE,1035000,5133,Yes
DUBUQUE,1035000,5046,Yes
DUBUQUE,194000,6003,Yes
DUBUQUE,132000,13000,Yes
DUBUQUE,169900,13068,Yes
DUBUQUE,87500,12800,Yes
DUBUQUE,80000,6650,Yes
DUBUQUE,79000,3216,Yes
DUBUQUE,0,3450,No
DUBUQUE,119000,13800,Yes
DUBUQUE,17488,6348,Yes
DUBUQUE,18106,6072,Yes
DYERSVILLE,51500,86859,unknown
FARLEY,126000,8052,Yes
EPWORTH,75000,16800,No
EPWORTH,43000,14375,unknown
PEOSTA,34000,15625,Yes
unknown,32000,15625,unknown
unknown,32000,15625,unknown
PEOSTA,282500,17875,Yes
PEOSTA,185000,12180,Yes
PEOSTA,332900,13800,Yes
unknown,50000,10780,unknown
PEOSTA,331000,44867,Yes
PEOSTA,335000,44867,Yes
PEOSTA,60000,65776,Yes
DUBUQUE,224900,24570,Yes
DUBUQUE,169000,10250,Yes
DUBUQUE,169000,12023,unknown
DUBUQUE,1.00E+06,52577,Yes
DUBUQUE,60000,23087,unknown
DUBUQUE,453000,16553,Yes
DUBUQUE,514615,36207,unknown
DUBUQUE,69900,20351,unknown
DUBUQUE,207250,47916,Yes
DUBUQUE,44000,10091,unknown
DUBUQUE,328786,18024,Yes
DUBUQUE,295000,9158,No
DUBUQUE,309500,67518,Yes
DUBUQUE,290000,219542,Yes
DUBUQUE,53500,44431,Yes
unknown,40000,171626,unknown
CASCADE,199000,9600,Yes
CASCADE,54000,12528,No
CASCADE,35000,30530,unknown
LUXEMBURG,115000,9700,Yes
unknown,115000,4158,unknown
HOLY CROSS,140000,8000,Yes
DURANGO,99178,47045,No
DUBUQUE,180000,119354,Yes
NEW VIENNA,149000,12771,Yes
DYERSVILLE,129000,7590,Yes
DYERSVILLE,60000,7590,Yes
DYERSVILLE,98700,3828,Yes
DYERSVILLE,60000,9180,Yes
DYERSVILLE,182000,8052,Yes
DYERSVILLE,155860,12000,Yes
DYERSVILLE,150000,10790,Yes
DUBUQUE,203000,8904,Yes
DUBUQUE,143000,22651,Yes
DUBUQUE,130000,32234,Yes
unknown,177500,74923,unknown
unknown,177500,57935,unknown
DUBUQUE,177500,154202,Yes
unknown,177500,119790,unknown
DUBUQUE,239000,62726,Yes
DUBUQUE,153500,53841,Yes
DUBUQUE,185900,15000,Yes
DUBUQUE,175000,4945,Yes
DUBUQUE,45000,5000,No
DUBUQUE,78000,5000,Yes
DUBUQUE,115000,12200,No
DUBUQUE,61000,6120,No
DUBUQUE,37500,5125,No
DUBUQUE,51250,2250,Yes
DUBUQUE,98766,3240,No
DUBUQUE,98766,2520,No
DUBUQUE,75000,6700,Yes
DUBUQUE,112000,8023,Yes
DUBUQUE,117500,42300,Yes
DUBUQUE,117500,18366,Yes
DUBUQUE,117500,9089,unknown
DUBUQUE,117500,9270,Yes
DUBUQUE,76500,6966,Yes
DUBUQUE,150000,32000,Yes
DUBUQUE,135000,7380,Yes
DUBUQUE,179000,9600,Yes
DUBUQUE,115000,6732,Yes
DUBUQUE,2.00E+05,0,Yes
DUBUQUE,330000,15444,Yes
DUBUQUE,242000,7700,Yes
DUBUQUE,325000,16120,Yes
DUBUQUE,156500,10560,Yes
DUBUQUE,139000,12000,Yes
ASBURY,280000,20216,Yes
ASBURY,241500,7020,Yes
DUBUQUE,195000,7263,Yes
ASBURY,170000,7344,Yes
DUBUQUE,180000,5746,Yes
ASBURY,279000,10540,Yes
unknown,355000,4290,unknown
DUBUQUE,355000,5974,Yes
DUBUQUE,155000,8568,Yes
DUBUQUE,119900,8024,Yes
DUBUQUE,150000,7373,Yes
DUBUQUE,260000,7200,unknown
DUBUQUE,260000,10571,unknown
DUBUQUE,260000,17771,unknown
DUBUQUE,242900,6067,Yes
DUBUQUE,129000,6000,Yes
DUBUQUE,149000,9000,Yes
DUBUQUE,147000,10125,Yes
DUBUQUE,108900,6250,Yes
DUBUQUE,85070,6000,No
DUBUQUE,5000,6900,No
DUBUQUE,5000,13682,No
DUBUQUE,82900,3750,No
DUBUQUE,75000,8469,No
DUBUQUE,128000,6000,Yes
DUBUQUE,52000,10550,No
DUBUQUE,28000,5500,No
DUBUQUE,90000,5530,No
DUBUQUE,40000,1848,No
DUBUQUE,40000,4076,unknown
DUBUQUE,98000,2848,Yes
DUBUQUE,110000,2736,No
DUBUQUE,160000,5538,No
DUBUQUE,1.00E+05,5850,No
DUBUQUE,17000,6000,unknown
DUBUQUE,17000,5400,No
DUBUQUE,105000,5500,No
DUBUQUE,29900,5100,No
DUBUQUE,25000,2600,No
DUBUQUE,149000,3960,Yes
DUBUQUE,97500,1216,Yes
DUBUQUE,123500,4200,Yes
DUBUQUE,84000,8700,Yes
DUBUQUE,105000,7425,Yes
DUBUQUE,143500,5000,Yes
DUBUQUE,160000,5700,Yes
DUBUQUE,138000,23450,Yes
DUBUQUE,127000,16800,Yes
DUBUQUE,127000,12214,Yes
DUBUQUE,205000,8400,Yes
DUBUQUE,187950,5000,Yes
DUBUQUE,193500,10800,Yes
DUBUQUE,199000,13260,Yes
DUBUQUE,141000,6956,Yes
DUBUQUE,270000,15000,Yes
DUBUQUE,169500,10530,Yes
DUBUQUE,124000,3060,Yes
DUBUQUE,170500,5046,Yes
DUBUQUE,295000,5046,Yes
DUBUQUE,295000,5046,Yes
DUBUQUE,139700,7200,Yes
DUBUQUE,60000,3250,Yes
DUBUQUE,46000,3450,No
WORTHINGTON,320000,140699,Yes
FARLEY,180000,8712,Yes
EPWORTH,38000,14375,Yes
unknown,53000,17105,unknown
unknown,52000,16875,unknown
PEOSTA,220000,10200,Yes
PEOSTA,35000,22022,Yes
PEOSTA,240000,12180,Yes
PEOSTA,53500,12980,Yes
PEOSTA,271000,61855,Yes
DUBUQUE,218000,7245,Yes
DUBUQUE,65000,357105,No
unknown,65000,85813,unknown
DUBUQUE,227500,8625,Yes
DUBUQUE,290000,7920,Yes
DUBUQUE,228000,40075,Yes
DUBUQUE,565000,84506,Yes
unknown,40000,171626,unknown
CASCADE,202000,11200,Yes
CASCADE,1.00E+05,8040,Yes
CASCADE,125000,7440,Yes
CASCADE,257000,12000,Yes
CASCADE,112000,15600,No
CASCADE,30000,12000,Yes
ZWINGLE,175000,450846,Yes
ZWINGLE,98000,44431,Yes
unknown,68000,3450,unknown
LUXEMBURG,68000,8760,No
DYERSVILLE,420000,43560,Yes
DYERSVILLE,9520,368518,Yes
DYERSVILLE,213000,11097,Yes
DYERSVILLE,170000,8052,Yes
DYERSVILLE,182000,8052,Yes
DYERSVILLE,220000,6250,Yes
DYERSVILLE,36000,12825,unknown
unknown,58500,52708,unknown
DUBUQUE,289000,20473,Yes
DUBUQUE,197000,6420,Yes
unknown,51000,71003,unknown
DUBUQUE,368000,43996,Yes
DUBUQUE,52500,60592,unknown
DUBUQUE,187000,5104,Yes
DUBUQUE,112500,5000,Yes
DUBUQUE,73500,4250,Yes
DUBUQUE,72000,2500,Yes
DUBUQUE,30000,3125,No
DUBUQUE,68500,6250,Yes
DUBUQUE,27500,4500,No
DUBUQUE,38000,6612,Yes
DUBUQUE,57000,3000,Yes
DUBUQUE,90000,5000,Yes
DUBUQUE,345000,16395,unknown
DUBUQUE,116000,6600,Yes
DUBUQUE,155000,10010,Yes
DUBUQUE,250000,22366,Yes
DUBUQUE,134000,7500,Yes
DUBUQUE,150000,8580,Yes
DUBUQUE,118000,6930,Yes
DUBUQUE,239500,12000,Yes
DUBUQUE,242000,7700,Yes
DUBUQUE,274900,12875,Yes
ASBURY,285370,3074,Yes
DUBUQUE,168000,1758,Yes
DUBUQUE,165000,6210,Yes
DUBUQUE,205000,20000,Yes
DUBUQUE,3.00E+05,16065,Yes
DUBUQUE,260000,8214,Yes
DUBUQUE,210000,9720,Yes
DUBUQUE,270000,10660,Yes
DUBUQUE,250000,10560,Yes
DUBUQUE,145000,8024,Yes
DUBUQUE,135000,7821,Yes
DUBUQUE,146000,8450,Yes
DUBUQUE,145000,12692,Yes
DUBUQUE,99000,1674,Yes
DUBUQUE,144000,7276,Yes
DUBUQUE,138000,7490,Yes
DUBUQUE,104000,15000,Yes
DUBUQUE,1.00E+05,6250,Yes
DUBUQUE,150000,10200,Yes
DUBUQUE,25000,18219,unknown
DUBUQUE,25000,11316,Yes
DUBUQUE,135000,3330,Yes
DUBUQUE,85300,18668,Yes
DUBUQUE,98500,1400,unknown
DUBUQUE,98500,4940,Yes
DUBUQUE,76900,9114,Yes
DUBUQUE,92000,4020,No
DUBUQUE,77000,4185,No
DUBUQUE,21250,3450,No
DUBUQUE,22500,6039,No
DUBUQUE,55000,3120,No
DUBUQUE,85000,5100,Yes
DUBUQUE,1.00E+05,5580,Yes
DUBUQUE,110000,2736,No
DUBUQUE,40816,2600,Yes
DUBUQUE,38000,5499,Yes
DUBUQUE,163300,14960,Yes
DUBUQUE,149000,3960,Yes
DUBUQUE,130000,7140,No
DUBUQUE,165000,7450,Yes
DUBUQUE,91000,4400,Yes
DUBUQUE,145000,8640,Yes
DUBUQUE,95000,5550,Yes
DUBUQUE,138000,23450,Yes
DUBUQUE,160000,11700,Yes
DUBUQUE,28000,7500,Yes
DUBUQUE,128000,6882,Yes
DUBUQUE,95000,5500,Yes
DUBUQUE,165000,9100,Yes
DUBUQUE,175000,5000,Yes
DUBUQUE,175000,5000,Yes
DUBUQUE,219000,7200,Yes
DUBUQUE,215000,13184,Yes
DUBUQUE,130000,9234,Yes
DUBUQUE,245000,6372,Yes
DUBUQUE,107000,17914,Yes
DUBUQUE,130310,12500,unknown
DUBUQUE,130310,11000,Yes
DUBUQUE,109000,8400,Yes
DUBUQUE,65000,3562,No
DYERSVILLE,49500,43560,Yes
unknown,350000,204296,unknown
DYERSVILLE,350000,68986,Yes
unknown,350000,17860,unknown
FARLEY,150000,9372,unknown
EPWORTH,241500,12320,Yes
PEOSTA,45000,16800,Yes
PEOSTA,47000,15000,Yes
PEOSTA,277500,15625,Yes
PEOSTA,32000,15625,unknown
PEOSTA,226000,14803,Yes
PEOSTA,240000,12180,Yes
PEOSTA,447000,44713,Yes
PEOSTA,340000,13800,Yes
PEOSTA,412000,43996,Yes
PEOSTA,344000,191664,Yes
DUBUQUE,350000,22656,Yes
DUBUQUE,65000,33541,unknown
DUBUQUE,464900,38782,Yes
DUBUQUE,71500,25584,Yes
DUBUQUE,110000,103411,unknown
DUBUQUE,71500,43557,unknown
DUBUQUE,0,33541,Yes
DUBUQUE,65000,62291,No
DUBUQUE,48000,64033,Yes
DUBUQUE,320000,67518,Yes
CASCADE,140000,9450,Yes
PEOSTA,18370,99970,Yes
ZWINGLE,175000,450846,Yes
DUBUQUE,102000,36329,Yes
NEW VIENNA,114000,10206,No
DYERSVILLE,175000,12474,Yes
DYERSVILLE,106000,5750,No
DYERSVILLE,412000,14400,Yes
DYERSVILLE,152500,8052,Yes
DYERSVILLE,335000,28450,unknown
DYERSVILLE,216000,6250,Yes
DYERSVILLE,38000,12880,unknown
DUBUQUE,133000,31712,Yes
unknown,64000,19602,unknown
DUBUQUE,64000,34848,No
DUBUQUE,105000,14810,No
DUBUQUE,52500,60592,unknown
DUBUQUE,555000,78991,Yes
DUBUQUE,126000,13009,No
DUBUQUE,126000,12000,Yes
DUBUQUE,23000,5000,No
DUBUQUE,110900,5000,Yes
DUBUQUE,32500,4250,No
DUBUQUE,72000,5088,Yes
DUBUQUE,102000,5000,Yes
DUBUQUE,111900,5000,Yes
DUBUQUE,50000,4500,No
DUBUQUE,38000,1768,Yes
DUBUQUE,135000,4416,No
DUBUQUE,135000,3398,No
DUBUQUE,134000,13065,No
DUBUQUE,129900,9324,Yes
DUBUQUE,50000,7500,Yes
DUBUQUE,104900,0,Yes
DUBUQUE,2.00E+05,17050,Yes
DUBUQUE,85000,7360,Yes
DUBUQUE,186000,15228,Yes
DUBUQUE,283500,0,Yes
DUBUQUE,151000,2000,Yes
DUBUQUE,150500,2000,Yes
DUBUQUE,332500,7475,Yes
ASBURY,279900,29172,Yes
DUBUQUE,235000,10980,Yes
ASBURY,53000,10784,Yes
DUBUQUE,137000,1638,Yes
unknown,325500,5,unknown
DUBUQUE,325500,10942,Yes
DUBUQUE,310000,12793,Yes
DUBUQUE,288500,31050,Yes
DUBUQUE,177500,12240,Yes
DUBUQUE,151000,6360,Yes
DUBUQUE,137000,7490,Yes
DUBUQUE,245420,7496,Yes
DUBUQUE,37900,8253,unknown
DUBUQUE,150000,10620,Yes
DUBUQUE,116500,9916,Yes
DUBUQUE,255000,11016,Yes
DUBUQUE,77500,9000,Yes
DUBUQUE,0,10000,No
DUBUQUE,113000,6408,Yes
DUBUQUE,84000,5700,Yes
DUBUQUE,123000,5000,Yes
DUBUQUE,42500,5253,No
DUBUQUE,111000,8650,No
DUBUQUE,15900,4500,No
DUBUQUE,102000,6780,Yes
DUBUQUE,40000,2500,No
DUBUQUE,53100,9750,No
DUBUQUE,13500,3260,No
DUBUQUE,27000,2280,No
DUBUQUE,115000,2150,No
DUBUQUE,115000,2150,No
DUBUQUE,20000,4316,Yes
DUBUQUE,150000,4664,Yes
DUBUQUE,20000,4720,No
DUBUQUE,40816,2600,Yes
DUBUQUE,20000,3525,Yes
DUBUQUE,89500,3360,No
DUBUQUE,158000,10000,Yes
DUBUQUE,150000,12540,Yes
DUBUQUE,137500,12420,Yes
DUBUQUE,109000,4400,Yes
DUBUQUE,220000,10500,Yes
DUBUQUE,205000,0,Yes
DUBUQUE,180000,6800,Yes
DUBUQUE,121000,8760,Yes
DUBUQUE,285000,10600,Yes
DUBUQUE,14285,6480,unknown
DUBUQUE,14285,6800,Yes
FARLEY,83500,8712,Yes
EPWORTH,90000,6767,No
PEOSTA,650000,33649,Yes
unknown,650000,31200,unknown
PEOSTA,250000,14400,Yes
PEOSTA,325000,44431,Yes
DUBUQUE,69900,20000,unknown
DUBUQUE,89000,34151,unknown
CASCADE,140000,8400,Yes
LUXEMBURG,131800,11040,Yes
HOLY CROSS,185400,90169,Yes
SHERRILL,140000,23500,Yes
SHERRILL,106000,13068,Yes
SHERRILL,275000,49223,Yes
DYERSVILLE,141500,10833,Yes
unknown,140000,20038,unknown
DYERSVILLE,140000,138521,Yes
DYERSVILLE,69700,7590,Yes
DYERSVILLE,124000,8052,No
DYERSVILLE,138000,8052,Yes
DYERSVILLE,182000,63598,Yes
EPWORTH,250000,43560,Yes
DUBUQUE,250000,43560,Yes
DUBUQUE,239900,40946,Yes
DUBUQUE,321500,76230,Yes
unknown,48500,102366,unknown
PEOSTA,130000,44083,No
DUBUQUE,52500,43691,Yes
DUBUQUE,477000,43560,Yes
